epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,295,,,,,0.8894444704055786,0.44875475764274597
0,295,,,0.4574074149131775,1.7096904516220093,,
1,591,,,,,0.9642592668533325,0.11583001911640167
1,591,,,0.9227513074874878,0.24710266292095184,,
2,887,,,,,0.9724074006080627,0.09258988499641418
2,887,,,0.9523280262947083,0.14553679525852203,,
3,1183,,,,,0.9648148417472839,0.10024814307689667
3,1183,,,0.9628042578697205,0.1163167953491211,,
4,1479,,,,,0.9696296453475952,0.09179653972387314
4,1479,,,0.9698412418365479,0.09559305012226105,,
5,1775,,,,,0.9733333587646484,0.07262817025184631
5,1775,,,0.97645503282547,0.07218734920024872,,
6,2071,,,,,0.9764814972877502,0.06752505898475647
6,2071,,,0.9790475964546204,0.06387078016996384,,
7,2367,,,,,0.9811111092567444,0.06057262793183327
7,2367,,,0.9800000190734863,0.057907383888959885,,
8,2663,,,,,0.9851852059364319,0.04798850044608116
8,2663,,,0.9864550232887268,0.04116075485944748,,
9,2959,,,,,0.9838888645172119,0.04986131563782692
9,2959,,,0.9878836274147034,0.03596465662121773,,
10,3255,,,,,0.9862962961196899,0.04534493759274483
10,3255,,,0.9919576644897461,0.024941669777035713,,
11,3551,,,,,0.9855555295944214,0.0446665957570076
11,3551,,,0.9950793385505676,0.015165632590651512,,
12,3847,,,,,0.9870370626449585,0.04247576370835304
12,3847,,,0.9956613779067993,0.013572974130511284,,
13,4143,,,,,0.9851852059364319,0.04375150054693222
13,4143,,,0.9968783259391785,0.008892418816685677,,
14,4439,,,,,0.9864814877510071,0.04171445965766907
14,4439,,,0.9971428513526917,0.009623412042856216,,
15,4440,0.9877777695655823,0.048327233642339706,,,,
